03-05-2006
PERIODO ,      .75 
AMORTIGUAMIENTO ,            .05 
CONDICIONES INICIALES,      Xo = ,         0            , Vo = ,       0 
ELASTICO
SISMO --> ,   11  Chile                  Mar  3/85   Vi¤a del Mar                  N-S
TIEMPO seg,   AT (g) ,      ACE (g) ,     VEL (m/s),    DES (m),      FZA (1/W)
0,0,0,0,0,0
.005,-.001295,0,3.174903E-05,5.291505E-08,3.787004E-07
.01,-.0004793,-1.078763E-05,7.49844E-05,3.366342E-07,2.409211E-06
.015,.0000408,-1.262295E-05,8.516099E-05,7.476611E-07,5.350832E-06
.02,.0012543,-1.540267E-05,5.272242E-05,1.117219E-06,7.995668E-06
.025,.0022638,-7.953797E-06,-3.410215E-05,1.184242E-06,8.475336E-06
.03,.0031815,7.167133E-06,-1.676218E-04,6.983723E-07,4.998084E-06
.035,.004395,3.140104E-05,-3.524265E-04,-5.774512E-07,-4.13268E-06
.04,.00517,6.895714E-05,-5.844675E-04,-2.904619E-06,-2.078767E-05
.045,.0050884,1.174741E-04,-8.313981E-04,-6.446941E-06,-4.613922E-05
.045,.0050884,1.17474E-04,-8.313983E-04,-6.446944E-06,-4.613924E-05
.05,.0055473,1.720973E-04,-1.08505E-03,-1.122981E-05,-8.036903E-05
.055,.0062305,2.391207E-04,-1.363721E-03,-1.733914E-05,-1.240921E-04
.06,.0067505,3.197433E-04,-1.668269E-03,-2.491014E-05,-1.782759E-04
.065,.0061489,4.130678E-04,-1.966553E-03,-3.401139E-05,-2.434114E-04
.07,.0050782,5.108382E-04,-2.219153E-03,-4.449953E-05,-3.184725E-04
.075,.0050476,6.105977E-04,-2.439909E-03,-5.614986E-05,-4.018511E-04
.08,.0047927,7.20074E-04,-2.648537E-03,-6.887841E-05,-4.929463E-04
.085,.0037831,8.346113E-04,-2.820671E-03,-8.25744E-05,-5.909653E-04
.09,.0037526,9.477999E-04,-2.961722E-03,-9.703333E-05,-6.944443E-04
.095,.0053433,1.067648E-03,-3.135311E-03,-1.122458E-04,-8.033167E-04
.1,.0057512,1.205013E-03,-3.351592E-03,-1.284576E-04,-9.193402E-04
.105,.0057308,1.348622E-03,-3.570486E-03,-1.457661E-04,-1.043213E-03
.11,.0070258,1.498197E-03,-3.81344E-03,-1.642025E-04,-1.175158E-03
.115,.0066384,1.665394E-03,-4.07088E-03,-1.839247E-04,-1.316305E-03
.12,.0049252,1.834935E-03,-4.268564E-03,-2.048117E-04,-1.465789E-03
.125,.0047723,1.998843E-03,-4.412323E-03,-2.265204E-04,-1.621153E-03
.13,.0044868,2.170027E-03,-4.537118E-03,-2.489034E-04,-1.781342E-03
.135,3.518003E-03,2.343029E-03,-4.622723E-03,-2.718263E-04,-1.945395E-03
.135,.003518,2.343026E-03,-4.622724E-03,-2.718263E-04,-1.945396E-03
.14,.002947,2.511675E-03,-4.662203E-03,-2.950537E-04,-2.111629E-03
.145,.0020292,2.678946E-03,-4.656946E-03,-3.183737E-04,-2.278525E-03
.15,1.570401E-03,2.839708E-03,-4.609897E-03,-3.415535E-04,-2.444417E-03
.15,.0015704,2.839706E-03,-4.609897E-03,-3.415536E-04,-2.444417E-03
.155,.0020802,2.996758E-03,-4.556307E-03,-3.644618E-04,-2.608366E-03
.16,.0019273,3.155999E-03,-4.503713E-03,-3.871183E-04,-2.770513E-03
.165,1.560201E-03,3.310189E-03,-4.430686E-03,-4.094649E-04,-2.930442E-03
.165,.0015602,3.310188E-03,-4.430685E-03,-4.094649E-04,-2.930443E-03
.17,.0016621,3.458626E-03,-4.343737E-03,-4.314019E-04,-3.08744E-03
.175,.0016417,3.604849E-03,-4.251562E-03,-4.528936E-04,-3.241251E-03
.18,.0016213,3.746643E-03,-4.151326E-03,-4.739041E-04,-3.391618E-03
.18,.0016213,3.746643E-03,-4.151326E-03,-4.739041E-04,-3.391619E-03
.185,.001499,3.884039E-03,-4.040747E-03,-4.943896E-04,-3.538228E-03
.19,.0017437,4.01593E-03,-3.926566E-03,-5.143055E-04,-3.680762E-03
.195,.0023963,4.145195E-03,-3.827982E-03,-5.336812E-04,-3.819429E-03
.2,.0024473,4.274563E-03,-3.740307E-03,-5.526035E-04,-3.954852E-03
.2,.0024473,4.274563E-03,-3.740306E-03,-5.526036E-04,-3.954852E-03
.205,.0028246,4.398962E-03,-3.65691E-03,-5.710914E-04,-4.087165E-03
.21,.0034364,4.522448E-03,-3.591686E-03,-5.892029E-04,-4.216784E-03
.215,1.560206E-03,4.646636E-03,-3.489391E-03,-6.069465E-04,-4.343771E-03
.215,.0015602,4.64663E-03,-3.48939E-03,-6.069465E-04,-4.343771E-03
.22,-.0002345,4.751089E-03,-3.291492E-03,-6.239375E-04,-4.465371E-03
.225,-.0004793,4.83908E-03,-3.038874E-03,-6.397702E-04,-4.578683E-03
.23,-1.743696E-03,4.920085E-03,-2.745112E-03,-6.542577E-04,-4.682366E-03
.23,-.0017437,4.920081E-03,-2.745111E-03,-6.542577E-04,-4.682366E-03
.235,-.0030795,4.981345E-03,-2.384113E-03,-6.671093E-04,-4.774342E-03
.24,-.0040891,5.022486E-03,-1.963103E-03,-6.779988E-04,-4.852275E-03
.245,-5.934694E-03,5.044065E-03,-1.470556E-03,-6.866211E-04,-4.913983E-03
.245,-.0059347,5.04406E-03,-1.470555E-03,-6.866211E-04,-4.913983E-03
.25,-.0057206,5.036612E-03,-9.376627E-04,-6.926371E-04,-4.957038E-03
.255,-.0036404,5.016197E-03,-4.617021E-04,-6.960926E-04,-4.981768E-03
.26,-.0037118,4.993877E-03,-3.603814E-05,-6.97338E-04,-4.990681E-03
.265,-.00362,4.950946E-03,3.875259E-04,-6.964565E-04,-4.984372E-03
.27,-2.559506E-03,4.893979E-03,7.803905E-04,-6.935138E-04,-4.963313E-03
.27,-.0025595,4.893985E-03,7.803927E-04,-6.935138E-04,-4.963313E-03
.275,-.0019477,4.83096E-03,1.129317E-03,-6.887258E-04,-4.929046E-03
.28,-.0012135,4.757819E-03,1.441903E-03,-6.822813E-04,-4.882924E-03
.285,-.0005506,4.677898E-03,1.716484E-03,-6.743701E-04,-4.826306E-03
.29,.0002243,4.591761E-03,1.951744E-03,-6.65182E-04,-4.760548E-03
.295,.0010197,4.501849E-03,2.14419E-03,-6.54924E-04,-4.687135E-03
.3,8.872008E-04,4.409594E-03,2.315918E-03,-6.437746E-04,-4.607341E-03
.3,.0008872,4.409593E-03,2.315919E-03,-6.437745E-04,-4.60734E-03
.305,.0007954,4.317793E-03,2.488633E-03,-6.317632E-04,-4.521378E-03
.31,.0012848,4.201883E-03,2.646507E-03,-6.18913E-04,-4.429412E-03
.315,.0013868,4.093847E-03,2.784392E-03,-6.053314E-04,-4.332212E-03
.32,.001448,3.980998E-03,2.91286E-03,-5.910848E-04,-4.230252E-03
.325,.0015908,3.864348E-03,.0030307,-5.762206E-04,-4.123873E-03
.33,1.692699E-03,.003745,3.136755E-03,-5.607975E-04,-4.013493E-03
.33,.0016927,.003745,3.136756E-03,-5.607973E-04,-4.013493E-03
.335,.0018049,3.622885E-03,3.231642E-03,-5.448716E-04,-3.899516E-03
.34,.0019579,3.498594E-03,3.313985E-03,-5.285019E-04,-3.782361E-03
.345,.0019579,3.372864E-03,3.386448E-03,-5.117483E-04,-3.66246E-03
.35,.0022026,3.244815E-03,3.44669E-03,-4.946578E-04,-3.540148E-03
.355,.0031203,3.119579E-03,3.472224E-03,-4.773392E-04,-3.416202E-03
.36,3.426198E-03,2.995333E-03,3.461643E-03,-4.599958E-04,-3.29208E-03
.36,.0034262,2.995335E-03,3.461642E-03,-4.599957E-04,-3.292079E-03
.365,.0038239,2.874671E-03,3.427807E-03,-4.427615E-04,-3.168738E-03
.37,.0056186,2.758058E-03,3.334405E-03,-4.258169E-04,-3.04747E-03
.375,.0069443,2.657794E-03,3.159183E-03,-4.095538E-04,-2.931079E-03
.38,.00776,2.569866E-03,2.926848E-03,-3.943203E-04,-2.822056E-03
.385,.0091672,2.493583E-03,2.635989E-03,-3.803829E-04,-2.72231E-03
.39,.0103501,2.436607E-03,2.278363E-03,-3.680717E-04,-2.634201E-03
.395,1.157379E-02,2.398128E-03,1.859395E-03,-3.577015E-04,-2.559984E-03
.395,.0115738,2.398135E-03,1.859392E-03,-3.577015E-04,-2.559984E-03
.4,.0133991,2.381089E-03,1.364312E-03,-3.496046E-04,-2.502037E-03
.405,.0124711,2.392485E-03,8.470943E-04,-3.440953E-04,-2.462608E-03
.41,.0105439,2.410989E-03,4.006096E-04,-3.410158E-04,-2.440568E-03
.415,.0109212,2.433212E-03,-6.878375E-06,-3.400242E-04,-2.433472E-03
.42,.0105643,2.477306E-03,-4.132406E-04,-3.410827E-04,-2.441047E-03
.425,9.381407E-03,2.532106E-03,-7.794278E-04,-3.440896E-04,-2.462567E-03
.425,9.381399E-03,2.532099E-03,-7.794298E-04,-3.440896E-04,-2.462567E-03
.43,.0088307,2.591742E-03,-1.100309E-03,-3.488015E-04,-2.496289E-03
.435,.0091469,2.661266E-03,-1.412273E-03,-3.550779E-04,-2.541207E-03
.44,.0091367,2.745248E-03,-1.727976E-03,-3.629304E-04,-2.597406E-03
.445,.0086676,2.839236E-03,-2.027564E-03,-3.723307E-04,-2.664682E-03
.45,.0086778,2.939973E-03,-2.311128E-03,-3.831793E-04,-2.742323E-03
.455,.0086268,3.051526E-03,-2.588487E-03,-3.954317E-04,-2.83001E-03
.455,.0086268,3.051526E-03,-2.588488E-03,-3.954317E-04,-2.830011E-03
.46,8.494199E-03,3.172009E-03,-2.855657E-03,-4.090473E-04,-2.927453E-03
.465,.0085146,3.300554E-03,-3.11397E-03,-4.239735E-04,-3.034277E-03
.47,8.341299E-03,3.43814E-03,-3.362009E-03,-4.401698E-04,-3.15019E-03
.475,.0077906,3.582543E-03,-3.585385E-03,-4.575525E-04,-3.274594E-03
.48,.0074949,3.730501E-03,-3.780843E-03,-4.759771E-04,-3.406454E-03
.485,7.291002E-03,3.883806E-03,-3.956666E-03,-4.953282E-04,-3.544945E-03
.485,.007291,3.883805E-03,-3.956667E-03,-4.953283E-04,-3.544946E-03
.49,.0068933,.0040418,-4.110109E-03,-5.155065E-04,-3.689357E-03
.495,.0065568,4.201995E-03,-4.23775E-03,-5.363863E-04,-3.838788E-03
.5,.0062203,4.364382E-03,-4.340983E-03,-5.578433E-04,-3.992351E-03
.505,.0058736,4.52793E-03,-4.419474E-03,-5.797549E-04,-4.149167E-03
.51,.0055269,4.691674E-03,-4.472943E-03,-6.019963E-04,-4.308344E-03
.515,.0051904,4.854746E-03,-4.501649E-03,-6.24443E-04,-4.468989E-03
.52,.0048437,5.015127E-03,-4.505675E-03,-6.469716E-04,-4.630221E-03
.525,.0045071,5.175491E-03,-4.485085E-03,-6.694586E-04,-4.791155E-03
.53,.0041604,5.331412E-03,-4.43999E-03,-6.917816E-04,-4.950915E-03
.535,3.813704E-03,5.48316E-03,-4.370351E-03,-7.138176E-04,-5.108622E-03
.535,.0038137,5.483156E-03,-4.37035E-03,-7.138178E-04,-5.108624E-03
.54,.0034772,5.629902E-03,-4.276644E-03,-7.354452E-04,-5.263405E-03
.545,.0031305,5.770877E-03,-4.159133E-03,-7.565446E-04,-5.414409E-03
.55,.0027838,5.905167E-03,-4.017875E-03,-7.769969E-04,-5.560781E-03
.555,.0024881,6.03198E-03,-3.854466E-03,-7.966864E-04,-5.701694E-03
.56,.0022026,6.150945E-03,-3.670782E-03,-8.155077E-04,-5.836394E-03
.565,.0018661,6.261331E-03,-3.466226E-03,-8.333594E-04,-5.964154E-03
.57,.0015602,6.362033E-03,-3.240745E-03,-8.501351E-04,-6.084213E-03
.575,.0012543,6.452702E-03,-2.995573E-03,-8.657339E-04,-6.195851E-03
.58,.0009891,6.532613E-03,-2.732218E-03,-8.800605E-04,-6.298383E-03
.585,.0005812,6.601474E-03,-2.448713E-03,-8.930226E-04,-6.391149E-03
.59,.0003773,6.657462E-03,-2.147148E-03,-9.045175E-04,-6.473416E-03
.595,1.734024E-04,6.701858E-03,-1.833125E-03,-9.144733E-04,-6.544666E-03
.595,.0001734,6.701856E-03,-1.833121E-03,-9.144734E-04,-6.544667E-03
.6,-.0015092,6.733789E-03,-1.470975E-03,-9.227686E-04,-6.604034E-03
.605,-.0034059,6.740573E-03,-1.020128E-03,-9.290352E-04,-6.648883E-03
.61,-.0043134,6.721132E-03,-5.008418E-04,-9.328558E-04,-6.676226E-03
.615,-.0036608,6.681032E-03,2.323402E-05,-9.340357E-04,-6.68467E-03
.62,-.0031713,6.629461E-03,5.17062E-04,-9.326739E-04,-6.674924E-03
.625,-.0039463,6.562599E-03,1.014986E-03,-9.288582E-04,-6.647617E-03
.63,-.0038953,6.47135E-03,1.526783E-03,-9.225009E-04,-6.602118E-03
.635,-.0036914,6.364537E-03,2.027476E-03,-9.136089E-04,-6.538481E-03
.64,-.0036914,6.241783E-03,2.517541E-03,-9.022439E-04,-6.457144E-03
.645,-.0036098,6.101667E-03,2.999161E-03,-8.884476E-04,-6.358407E-03
.65,-.003569,5.945676E-03,3.470521E-03,-8.722694E-04,-6.242624E-03
.655,-.0032733,5.773755E-03,3.925591E-03,-8.537696E-04,-6.110225E-03
.66,-2.998003E-03,5.588565E-03,4.357908E-03,-8.330515E-04,-5.96195E-03
.66,-.002998,5.588569E-03,4.357913E-03,-8.330512E-04,-5.961948E-03
.665,-.0028654,5.39022E-03,4.770826E-03,-8.102226E-04,-5.79857E-03
.67,-.0026309,5.178468E-03,5.164685E-03,-7.853747E-04,-5.620739E-03
.675,-.0023963,4.955158E-03,5.536377E-03,-7.586128E-04,-5.42921E-03
.68,-.0021822,4.720896E-03,5.88585E-03,-7.300481E-04,-5.224779E-03
.685,-.0019477,4.476376E-03,6.212587E-03,-6.997922E-04,-5.008245E-03
.69,-.0017335,4.222665E-03,6.516109E-03,-6.679609E-04,-4.780437E-03
.695,-.0014888,3.960436E-03,6.79573E-03,-6.34671E-04,-4.542189E-03
.7,-.0012644,3.690863E-03,7.050813E-03,-6.000446E-04,-4.294376E-03
.705,-.0011013,3.414633E-03,7.283015E-03,-5.642011E-04,-4.037852E-03
.71,-.000622,3.13219E-03,7.48577E-03,-5.272636E-04,-.0037735
.715,-.0000306,2.84712E-03,7.648362E-03,-4.894104E-04,-3.502593E-03
.72,2.956961E-04,2.560946E-03,7.77445E-03,-4.508409E-04,-3.22656E-03
.72,.0002957,2.56095E-03,7.774452E-03,-4.508404E-04,-3.226557E-03
.725,.0007138,2.27273E-03,7.868208E-03,-4.117194E-04,-2.946577E-03
.73,.0012237,1.984964E-03,7.92509E-03,-3.722199E-04,-2.663889E-03
.735,.0016417,.0017011,7.945211E-03,-3.325298E-04,-2.379836E-03
.74,.0021006,1.416486E-03,7.929895E-03,-2.928269E-04,-2.095692E-03
.745,.0026921,1.137965E-03,7.875021E-03,-2.532969E-04,-1.812785E-03
.75,.0026105,8.661169E-04,7.794152E-03,-2.141201E-04,-1.532406E-03
.755,.0022842,5.965041E-04,7.710009E-03,-1.753609E-04,-1.255016E-03
.76,.0025289,3.290256E-04,7.614699E-03,-1.370387E-04,-9.807531E-04
.765,.0025799,6.891016E-05,7.499205E-03,-9.924761E-05,-7.102914E-04
.77,.0024065,-1.859762E-04,7.374085E-03,-6.206275E-05,-4.441683E-04
.775,.0025085,-4.365206E-04,7.238325E-03,-2.552456E-05,-1.826732E-04
.78,.0024167,-6.79774E-04,7.090208E-03,1.029983E-05,7.371344E-05
.785,1.519411E-03,-9.174399E-04,6.954549E-03,4.539821E-05,3.249042E-04
.785,.0015194,-9.174505E-04,6.954548E-03,4.539863E-05,3.249071E-04
.79,.0008872,-1.155532E-03,6.844724E-03,7.988873E-05,5.717445E-04
.795,.0006322,-1.391054E-03,6.745039E-03,1.138627E-04,8.148882E-04
.8,0,-1.622213E-03,6.655665E-03,1.473562E-04,1.054593E-03
.805,-.0005914,-1.853117E-03,6.584961E-03,1.804504E-04,1.29144E-03
.81,-.0011727,-2.08322E-03,6.531705E-03,2.132349E-04,1.526071E-03
.815,-.0016621,-2.313175E-03,6.49342E-03,2.457924E-04,1.759077E-03
.82,-.0023352,-2.543913E-03,6.472341E-03,2.781977E-04,1.990994E-03
.825,-.003049,-2.774458E-03,6.473955E-03,3.105535E-04,2.222557E-03
.83,-.0021414,-3.008665E-03,6.459423E-03,3.429103E-04,2.454127E-03
.835,-.0012848,-3.232688E-03,6.390405E-03,3.750569E-04,2.684192E-03
.84,-.0014684,-3.448914E-03,6.294094E-03,4.067688E-04,2.911147E-03
.845,-9.789057E-04,-3.664029E-03,6.179709E-03,4.379677E-04,3.13443E-03
.845,-.0009789,-3.664023E-03,6.179707E-03,4.37968E-04,3.134432E-03
.85,-.0003977,-3.86988E-03,6.028751E-03,4.685052E-04,3.35298E-03
.855,.0000102,-4.066142E-03,5.843687E-03,4.981986E-04,3.565488E-03
.86,.0005099,-4.253158E-03,5.626975E-03,5.268893E-04,3.77082E-03
.865,.0009891,-4.428744E-03,5.377374E-03,5.544135E-04,3.967805E-03
.87,.0014888,-4.592156E-03,5.095462E-03,5.806091E-04,4.155281E-03
.875,.0019069,-4.742102E-03,4.783367E-03,6.053178E-04,4.332114E-03
.88,.0024881,-4.878229E-03,4.439759E-03,6.283902E-04,4.497238E-03
.885,.0029164,-4.998069E-03,4.065125E-03,6.496636E-04,4.649487E-03
.89,.0025697,-5.102131E-03,3.683002E-03,6.69029E-04,4.78808E-03
.895,.0024983,-5.173531E-03,3.306828E-03,6.865035E-04,4.913141E-03
.9,.0027634,-.0052751,2.921664E-03,7.020822E-04,5.024634E-03
.905,-.0027838,-5.351139E-03,2.661645E-03,7.159287E-04,5.123731E-03
.91,-2.304606E-03,-5.433346E-03,2.521996E-03,7.288993E-04,5.216558E-03
.91,-.0023046,-5.43334E-03,2.521995E-03,7.288994E-04,5.216559E-03
.915,-.0045275,-5.511534E-03,2.421163E-03,7.412134E-04,5.304688E-03
.92,-.0049456,-5.593175E-03,2.381162E-03,7.532124E-04,5.390561E-03
.925,-.0045377,-5.675904E-03,2.337381E-03,7.650187E-04,5.475056E-03
.93,-.0060367,-5.756002E-03,2.316357E-03,7.766241E-04,5.558113E-03
.935,-.0065466,-5.840304E-03,2.340555E-03,7.882577E-04,5.641372E-03
.94,-.0038851,-5.928652E-03,2.30777E-03,7.999347E-04,5.724941E-03
.945,-.0023759,-5.994316E-03,2.168958E-03,8.111586E-04,5.805268E-03
.95,-.0022128,-6.04984E-03,1.986176E-03,8.21551E-04,5.879643E-03
.955,-.0006832,-6.100952E-03,1.75928E-03,8.309468E-04,5.946888E-03
.96,.0006118,-6.132686E-03,1.461103E-03,8.390249E-04,6.004701E-03
.965,.0024065,-6.147635E-03,1.086032E-03,8.454297E-04,6.050539E-03
.97,2.447299E-03,-6.106835E-03,6.665959E-04,8.498113E-04,6.081896E-03
.97,.0024473,-6.106835E-03,6.665909E-04,8.498113E-04,6.081896E-03
.975,.000724,-6.119359E-03,2.890967E-04,8.521656E-04,6.098745E-03
.98,.0010095,-6.099118E-03,-5.29584E-05,8.527614E-04,6.103009E-03
.985,.0011217,-6.060577E-03,-4.033226E-04,8.516221E-04,6.094856E-03
.99,.0003467,-6.009583E-03,-7.352421E-04,8.487588E-04,6.074364E-03
.995,-.0000102,-5.953043E-03,-1.036775E-03,8.443204E-04,6.042599E-03
1,-.0004691,-5.886823E-03,-1.315297E-03,8.384295E-04,6.000439E-03
1.005,-.0009177,-5.813564E-03,-1.568152E-03,8.312102E-04,5.948773E-03
1.01,-.0014276,-5.733892E-03,-1.793757E-03,8.227934E-04,5.888536E-03
1.015,-.0017539,-5.649296E-03,-1.994835E-03,8.133135E-04,5.820691E-03
1.02,-.0023352,-5.559159E-03,-2.169377E-03,8.028893E-04,5.746087E-03
1.025,-.0029776,-5.466801E-03,-2.309444E-03,7.916772E-04,5.665845E-03
1.03,-.0015806,-5.373304E-03,-2.463455E-03,7.797717E-04,5.580639E-03
1.035,-.0002651,-5.262827E-03,-2.678967E-03,7.669402E-04,5.488808E-03
1.04,-.0002243,-5.138768E-03,-2.92198E-03,7.529362E-04,5.388584E-03
1.045,.0006322,-5.00951E-03,-3.180782E-03,7.376942E-04,5.279501E-03
1.05,.0016112,-4.865372E-03,-3.477881E-03,7.210646E-04,5.160486E-03
1.055,.0023963,-4.706117E-03,-3.810792E-03,7.028556E-04,5.03017E-03
1.06,.0032733,-4.532278E-03,-4.176285E-03,6.829023E-04,4.887369E-03
1.065,4.11968E-03,-4.341613E-03,-4.575093E-03,6.610373E-04,4.730886E-03
1.065,.0041197,-4.341592E-03,-4.575103E-03,6.610368E-04,4.730882E-03
1.07,.0049864,-4.133462E-03,-5.006133E-03,6.370972E-04,4.559552E-03
1.075,.0058328,-3.90655E-03,-5.468497E-03,6.109233E-04,4.372232E-03
1.08,.0067301,-3.660048E-03,-5.962004E-03,5.823604E-04,4.167814E-03
1.085,.0075459,-3.392514E-03,-6.484908E-03,5.512543E-04,3.945196E-03
1.09,8.280099E-03,-3.103736E-03,-7.032174E-03,5.174707E-04,3.703414E-03
1.095,.0096873,-2.793364E-03,-7.61725E-03,4.808696E-04,3.441469E-03
1.1,.0091774,-2.454944E-03,-8.208419E-03,4.412881E-04,3.158194E-03
1.105,.0068831,-2.10431E-03,-8.713946E-03,3.989282E-04,2.855034E-03
1.11,.0066587,-1.753274E-03,-9.140519E-03,3.542804E-04,.0025355
1.115,.0062509,-1.38495E-03,-9.533958E-03,3.075784E-04,2.201265E-03
1.12,.0049456,-1.006957E-03,-9.867099E-03,2.590414E-04,1.853897E-03
1.125,.0040483,-6.277371E-04,-1.012768E-02,2.090284E-04,1.495966E-03
1.13,.0030591,-2.446883E-04,-1.032331E-02,1.57873E-04,1.129859E-03
1.135,.0020598,1.381807E-04,-1.045142E-02,1.059079E-04,7.579576E-04
1.14,.0010503,5.152907E-04,-1.051165E-02,5.347195E-05,3.82686E-04
1.145,.0001632,8.941555E-04,-1.050685E-02,8.998923E-07,6.440314E-06
1.15,-.0011013,1.263405E-03,-1.043095E-02,-5.147793E-05,-3.684153E-04
1.155,-.0027226,1.620785E-03,-1.026649E-02,-1.032619E-04,-7.390209E-04
1.16,-.0035588,1.961432E-03,-1.002467E-02,-1.540138E-04,-1.10224E-03
1.165,-.0056288,2.289378E-03,-9.695207E-03,-2.033625E-04,-1.455417E-03
1.17,-.0059144,2.590471E-03,-9.292569E-03,-2.508438E-04,-1.79523E-03
1.175,-.0019579,2.878507E-03,-8.965486E-03,-2.96414E-04,-2.121364E-03
1.18,-.0009177,3.183581E-03,-8.746364E-03,-3.406786E-04,-2.438155E-03
1.185,-.0006526,3.477536E-03,-8.544558E-03,-3.839064E-04,-2.747526E-03
1.19,1.335753E-03,.0037623,-8.383811E-03,-4.261925E-04,-3.050158E-03
1.19,.0013358,3.762347E-03,-8.383808E-03,-4.261935E-04,-3.050165E-03
1.195,.0031203,4.054084E-03,-8.301424E-03,-4.67876E-04,-3.348477E-03
1.2,.0050068,4.353769E-03,-8.29454E-03,-5.093335E-04,-3.645178E-03
1.205,.0035588,4.653878E-03,-8.283703E-03,-5.508148E-04,-3.94205E-03
1.21,.0022128,4.940581E-03,-8.18998E-03,-5.920323E-04,-4.237033E-03
1.215,.0030286,5.215933E-03,-8.069478E-03,-6.326698E-04,-4.527867E-03
1.22,.0024881,5.494898E-03,-7.942135E-03,-6.727156E-04,-4.814465E-03
1.225,.0015806,5.761908E-03,-7.765907E-03,-7.120097E-04,-5.095683E-03
1.23,.0013664,6.015816E-03,-7.549408E-03,-7.503075E-04,-5.369771E-03
1.235,.0006526,6.261291E-03,-7.297914E-03,-7.874453E-04,-5.635558E-03
1.24,-.0019171,6.491734E-03,-6.954252E-03,-8.231329E-04,-5.890965E-03
1.245,-.0038443,.0066913,-6.489799E-03,-8.567864E-04,-6.131816E-03
1.25,-.0050068,6.865079E-03,-5.940444E-03,-8.878894E-04,-6.354412E-03
1.255,-.0068015,7.014317E-03,-5.310669E-03,-9.160568E-04,-.006556
1.26,-.0086472,7.129721E-03,-4.585155E-03,-9.408364E-04,-6.733341E-03
1.265,-.0112067,7.209186E-03,-3.746864E-03,-9.617204E-04,-6.882803E-03
1.27,-.0098097,7.243669E-03,-2.877278E-03,-9.782529E-04,-7.001122E-03
1.275,-.0069035,7.263487E-03,-2.111861E-03,-9.906667E-04,-7.089965E-03
1.28,-7.433699E-03,7.274176E-03,-1.403948E-03,-9.994673E-04,-7.152949E-03
1.285,-.0067199,7.248611E-03,-7.009002E-04,-1.004714E-03,-.0071905
1.29,-.0051292,7.204691E-03,-5.605459E-05,-1.006573E-03,-7.203804E-03
1.295,-.0041604,7.148114E-03,5.235769E-04,-1.005384E-03,-7.19529E-03
1.3,-.0029674,7.074536E-03,1.047017E-03,-1.001431E-03,-7.167004E-03
1.305,-.0017743,6.98922E-03,1.508063E-03,-9.950174E-04,-7.121101E-03
1.31,-.0007954,6.89391E-03,1.911431E-03,-9.864467E-04,-7.059763E-03
1.315,6.831647E-04,6.789121E-03,2.249644E-03,-9.760117E-04,-6.985082E-03
1.315,.0006832,6.789157E-03,2.249651E-03,-9.760114E-04,-6.98508E-03
1.32,.0016825,6.681464E-03,2.521906E-03,-9.640599E-04,-6.899546E-03
1.325,.0000306,6.568538E-03,2.804752E-03,-9.507747E-04,-6.804468E-03
1.33,-.0007036,6.431378E-03,3.139965E-03,-9.359251E-04,-6.698193E-03
1.335,-.0002753,6.281447E-03,3.47564E-03,-9.193743E-04,-6.579742E-03
1.34,-.0010503,6.125238E-03,3.812308E-03,-9.011671E-04,-6.449437E-03
1.345,-.0016927,5.950991E-03,4.175626E-03,-8.812069E-04,-6.306587E-03
1.35,-.0022026,5.76173E-03,4.558281E-03,-8.593787E-04,-6.150368E-03
1.355,-.0028042,5.557504E-03,4.95854E-03,-8.355948E-04,-5.980152E-03
1.36,-.003416,5.33676E-03,5.378128E-03,-8.097611E-04,-5.795267E-03
1.365,-.0039667,5.099034E-03,5.814977E-03,-7.817848E-04,-5.595047E-03
1.37,-.0044256,4.844278E-03,6.264505E-03,-7.515902E-04,-5.378952E-03
1.375,-.0055677,4.572661E-03,6.740378E-03,-7.190959E-04,-5.146397E-03
1.38,-.0047417,4.278015E-03,7.210118E-03,-6.841968E-04,-4.896632E-03
1.385,-.0022128,3.97699E-03,7.583003E-03,-6.471562E-04,-4.631542E-03
1.39,-.0019171,3.681038E-03,7.872003E-03,-6.085066E-04,-4.354937E-03
1.395,-.0004181,.0033724,8.10218E-03,-5.685342E-04,-4.068864E-03
1.4,-.0005914,3.067585E-03,8.284817E-03,-5.275641E-04,-3.77565E-03
1.405,-.0033345,.0027529,8.523765E-03,-4.855923E-04,-3.475268E-03
1.41,-.0006118,2.411252E-03,8.747122E-03,-4.423525E-04,-3.165811E-03
1.415,.0018151,2.096805E-03,8.828144E-03,-3.983584E-04,-2.850956E-03
1.42,.0013052,1.779458E-03,8.846677E-03,-3.541753E-04,-2.534748E-03
1.425,.0024677,1.460028E-03,8.833599E-03,-3.099444E-04,-2.218198E-03
1.43,.0037322,1.152571E-03,8.745651E-03,-2.659642E-04,-1.903442E-03
1.435,.0046499,8.564389E-04,8.589405E-03,-2.226018E-04,-1.593108E-03
1.44,5.720574E-03,5.711929E-04,8.370156E-03,-1.801752E-04,-1.289471E-03
1.44,.0057206,5.712184E-04,8.370151E-03,-1.801742E-04,-1.289464E-03
1.445,.0069341,3.009943E-04,8.081284E-03,-1.390154E-04,-9.948999E-04
1.45,.0073929,4.89607E-05,7.738614E-03,-9.945116E-05,-7.117481E-04
1.455,.0075867,-1.890545E-04,7.367931E-03,-6.167601E-05,-4.414005E-04
1.46,.0081679,-4.122836E-04,6.966939E-03,-2.582243E-05,-1.84805E-04
