CALCULO_DEL_ESPECTRO											
ACELEROGRAMA_=	                 C:\Documents and Settings\Juan Manuel\Escritorio\FUK000_AT2.txt										
ARCHIVO_=	C:\Documents and Settings\Juan Manuel\Escritorio\Interaccion Suelo Estructura\FU										

ACELERACION_MAXIMA_ORIGINAL=	0.03369	 g									
CONSTANTE NORMALIZACION_=	1										
ACELERACION_MAXIMA_=	0.03369	 g									
ACELERACION_MAXIMA_=	0.33034	 m/s2									
ESPECTRO_DE_ACELERACIONES_(m/s2_y_g)											
PERIODO	x=0.02	x=0.05	x=0.08	x=0.10	x=0.20	PERIODO	x=0.02	x=0.05	x=0.08	x=0.10	x=0.20
1.02	1.1006	0.9246	0.8019	0.7352	0.5096	1.02	0.1122	0.0943	0.0818	0.075	0.052
1.04	1.1413	0.9546	0.8182	0.7441	0.5056	1.04	0.1164	0.0973	0.0834	0.0759	0.0516
1.06	1.1548	0.9746	0.8269	0.7458	0.498	1.06	0.1178	0.0994	0.0843	0.0761	0.0508
1.08	1.1731	0.9891	0.8295	0.7452	0.4869	1.08	0.1196	0.1009	0.0846	0.076	0.0496
1.1	1.2186	1.0015	0.8282	0.7377	0.4751	1.1	0.1243	0.1021	0.0845	0.0752	0.0484
1.12	1.2917	1.0087	0.8192	0.7234	0.4689	1.12	0.1317	0.1029	0.0835	0.0738	0.0478
1.14	1.3371	1.0027	0.8018	0.7035	0.4611	1.14	0.1363	0.1022	0.0818	0.0717	0.047
1.16	1.3962	0.9783	0.7762	0.6886	0.4524	1.16	0.1424	0.0998	0.0792	0.0702	0.0461
1.18	1.3738	0.9568	0.761	0.6799	0.4419	1.18	0.1401	0.0976	0.0776	0.0693	0.0451
1.2	1.3649	0.975	0.7489	0.6675	0.4421	1.2	0.1392	0.0994	0.0764	0.0681	0.0451
1.22	1.3914	0.9832	0.7331	0.6516	0.4418	1.22	0.1419	0.1003	0.0748	0.0664	0.0451
1.24	1.3873	0.9798	0.7252	0.6324	0.4395	1.24	0.1415	0.0999	0.0739	0.0645	0.0448
1.26	1.4185	0.9607	0.7102	0.6141	0.4364	1.26	0.1446	0.098	0.0724	0.0626	0.0445
1.28	1.3898	0.9213	0.6855	0.6046	0.4319	1.28	0.1417	0.0939	0.0699	0.0616	0.044
1.3	1.2739	0.861	0.6545	0.5896	0.4257	1.3	0.1299	0.0878	0.0667	0.0601	0.0434
1.32	1.1163	0.788	0.6237	0.5722	0.4196	1.32	0.1138	0.0804	0.0636	0.0583	0.0428
1.34	0.9675	0.7202	0.5945	0.5517	0.4122	1.34	0.0987	0.0734	0.0606	0.0563	0.042
1.36	0.8675	0.6741	0.5668	0.5316	0.4036	1.36	0.0885	0.0687	0.0578	0.0542	0.0412
1.38	0.7991	0.6326	0.5407	0.511	0.395	1.38	0.0815	0.0645	0.0551	0.0521	0.0403
1.4	0.7409	0.5957	0.5174	0.4928	0.3862	1.4	0.0755	0.0607	0.0528	0.0503	0.0394
1.42	0.7024	0.5621	0.4995	0.4764	0.3767	1.42	0.0716	0.0573	0.0509	0.0486	0.0384
1.44	0.6935	0.5293	0.4854	0.4612	0.3666	1.44	0.0707	0.054	0.0495	0.047	0.0374
1.46	0.6966	0.5123	0.4737	0.4475	0.3566	1.46	0.071	0.0522	0.0483	0.0456	0.0364
1.48	0.7982	0.5198	0.4631	0.4343	0.3469	1.48	0.0814	0.053	0.0472	0.0443	0.0354
1.5	0.8655	0.5259	0.4514	0.4197	0.3368	1.5	0.0883	0.0536	0.046	0.0428	0.0343
1.52	0.8493	0.5197	0.4354	0.4038	0.3266	1.52	0.0866	0.053	0.0444	0.0412	0.0333
1.54	0.8007	0.5023	0.416	0.3863	0.3162	1.54	0.0816	0.0512	0.0424	0.0394	0.0322
1.56	0.7167	0.4959	0.3918	0.3668	0.3057	1.56	0.0731	0.0506	0.0399	0.0374	0.0312
1.58	0.6472	0.4883	0.3898	0.3464	0.296	1.58	0.066	0.0498	0.0397	0.0353	0.0302
